artist,hrsplayed,ranking,hrsplayedround
SASAMI,1.639493333,2,1.64
Viagra Boys,1.637771944,6,1.64
Kid Cudi,1.633746111,6,1.63
Mannequin Pussy,1.632263611,5,1.63
Niki Istrefi,1.627922222,2,1.63
U.S. Girls,1.626824167,3,1.63
Cap'n Jazz,1.615321944,6,1.62
Shintaro Sakamoto,1.602664444,5,1.6
Mareux,1.590525556,3,1.59
Forth Wanderers,1.589271944,5,1.59
Surf Curse,1.585255833,5,1.59
A$AP Rocky,1.584099167,6,1.58
Kali Uchis,1.583056111,6,1.58
Candy Claws,1.576951667,7,1.58
Kinokoteikoku,1.574957222,2,1.57
GFOTY,1.574628611,4,1.57
?????,1.561905278,2,1.56
Life Without Buildings,1.543321667,2,1.54
System Of A Down,1.533175833,7,1.53
Jimmy Whoo,1.505504167,2,1.51
Anderson .Paak,1.504461667,6,1.5
Faye Webster,1.496341389,2,1.5
Jazmin Bean,1.49412,2,1.49
Sybyr,1.492239722,3,1.49
ITSOKTOCRY,1.489692778,2,1.49
Lim Kim,1.486339722,6,1.49
Sunn 0))),1.483416111,2,1.48
Them Airs,1.473600278,2,1.47
The Velvet Underground,1.468788333,7,1.47
Mi-gu,1.467880556,4,1.47
Clarence James,1.465096389,3,1.47
black midi,1.461335278,7,1.46
LORD$OFDOGTOWN,1.458241667,3,1.46
Boy Harsher,1.456573056,3,1.46
Jai Paul,1.450316944,5,1.45
The Virus and Antidote,1.444841944,2,1.44
The Drums,1.44277,4,1.44
The Garden,1.442129444,5,1.44
Wire,1.434270556,7,1.43
Wavves,1.433082222,6,1.43
Julianna Barwick,1.433056944,5,1.43
Spoon,1.432098056,6,1.43
Thornato,1.430713889,2,1.43
Peach Pit,1.4290425,3,1.43
Color Blinded,1.426025833,4,1.43
Swirlies,1.423486667,5,1.42
Babes In Toyland ,1.418103056,6,1.42
Future,1.415223333,4,1.42
Lingua Ignota,1.414926944,6,1.41
Boys Noize,1.412552222,5,1.41
Allie X,1.412355833,3,1.41
True Widow,1.408649722,6,1.41
Lana Del Rey,1.405221667,6,1.41
Netherlands,1.403027778,6,1.4
Against All Logic,1.396541667,6,1.4
STRFKR,1.3940775,4,1.39
glass beach,1.380750556,4,1.38
Night Tapes,1.373222222,4,1.37
Low Roar,1.370993889,4,1.37
????????,1.368428333,3,1.37
Country Teasers,1.368060278,6,1.37
NEU!,1.366928611,7,1.37
SLIFT,1.363625556,5,1.36
Chromatics,1.361520556,5,1.36
Late Night Alumni,1.358015833,3,1.36
Rites of Spring,1.351844167,2,1.35
Grand Blanc,1.347764444,3,1.35
Slowdive,1.336164444,5,1.34
Weyes Blood,1.334909722,3,1.33
Perfume Genius,1.327181389,3,1.33
Rosemary Fairweather,1.325488333,2,1.33
Joe Kaplow,1.325244444,5,1.33
Earth,1.325162222,2,1.33
Tula Vera,1.323223889,3,1.32
FKA twigs,1.322555556,6,1.32
Whitey,1.318538333,4,1.32
Scallops Hotel,1.310883333,2,1.31
Lil Boodang,1.307643056,3,1.31
??? Park Hye Jin,1.305465278,5,1.31
P.H.F.,1.303340278,5,1.3
waveform*,1.30056,3,1.3
Backxwash,1.298339167,2,1.3
Yaeji,1.288648333,3,1.29
Morning Teleportation,1.287923056,4,1.29
Unwound,1.286874167,7,1.29
Lykke Li,1.280629722,2,1.28
Mochitsuki,1.279274722,2,1.28
THE SCOTTS,1.275663611,6,1.28
Pllush,1.2738875,3,1.27
Chelsea Wolfe,1.272774444,6,1.27
Jessica93,1.267964444,5,1.27
Electric Wizard,1.267863333,5,1.27
Lotic,1.264065,3,1.26
Capacities,1.263681667,6,1.26
SPIRIT OF THE BEEHIVE,1.261996389,4,1.26
Momma,1.243801667,3,1.24
Haruomi Hosono,1.239161944,2,1.24
Grouper,1.230363056,3,1.23
